Name,Team,Number,Position,Age,Height,Weight
Avery Bradley,Boston Celtics,0,PG,25,2-Jun,180
Jae Crowder,Boston Celtics,99,SF,25,6-Jun,235
John Holland,Boston Celtics,30,SG,27,5-Jun,205
R.J. Hunter,Boston Celtics,28,SG,22,5-Jun,185
Jonas Jerebko,Boston Celtics,8,PF,29,10-Jun,231
Amir Johnson,Boston Celtics,90,PF,29,9-Jun,240
Jordan Mickey,Boston Celtics,55,PF,21,8-Jun,235
Kelly Olynyk,Boston Celtics,41,C,25,Jul-00,238
Terry Rozier,Boston Celtics,12,PG,22,2-Jun,190
Marcus Smart,Boston Celtics,36,PG,22,4-Jun,220
Jared Sullinger,Boston Celtics,7,C,24,9-Jun,260
Isaiah Thomas,Boston Celtics,4,PG,27,9-May,185
Evan Turner,Boston Celtics,11,SG,27,7-Jun,220
James Young,Boston Celtics,13,SG,20,6-Jun,215
Tyler Zeller,Boston Celtics,44,C,26,Jul-00,253
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,8-Jun,216
Markel Brown,Brooklyn Nets,22,SG,24,3-Jun,190
Wayne Ellington,Brooklyn Nets,21,SG,28,4-Jun,200
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,7-Jun,220
Jarrett Jack,Brooklyn Nets,2,PG,32,3-Jun,200
Sergey Karasev,Brooklyn Nets,10,SG,22,7-Jun,208
Sean Kilpatrick,Brooklyn Nets,6,SG,26,4-Jun,219
Shane Larkin,Brooklyn Nets,0,PG,23,11-May,175
Brook Lopez,Brooklyn Nets,11,C,28,Jul-00,275
Chris McCullough,Brooklyn Nets,1,PF,21,11-Jun,200
Willie Reed,Brooklyn Nets,33,PF,26,10-Jun,220
Thomas Robinson,Brooklyn Nets,41,PF,25,10-Jun,237
Henry Sims,Brooklyn Nets,14,C,26,10-Jun,248
Donald Sloan,Brooklyn Nets,15,PG,28,3-Jun,205
Thaddeus Young,Brooklyn Nets,30,PF,27,8-Jun,221
Arron Afflalo,New York Knicks,4,SG,30,5-Jun,210
Lou Amundson,New York Knicks,17,PF,33,9-Jun,220
Thanasis Antetokounmpo,New York Knicks,43,SF,23,7-Jun,205
Carmelo Anthony,New York Knicks,7,SF,32,8-Jun,240
Jose Calderon,New York Knicks,3,PG,34,3-Jun,200
Cleanthony Early,New York Knicks,11,SF,25,8-Jun,210
Langston Galloway,New York Knicks,2,SG,24,2-Jun,200
Jerian Grant,New York Knicks,13,PG,23,4-Jun,195
Robin Lopez,New York Knicks,8,C,28,Jul-00,255
Kyle O'Quinn,New York Knicks,9,PF,26,10-Jun,250
Kristaps Porzingis,New York Knicks,6,PF,20,3-Jul,240
Kevin Seraphin,New York Knicks,1,C,26,10-Jun,278
Lance Thomas,New York Knicks,42,SF,28,8-Jun,235
Sasha Vujacic,New York Knicks,18,SG,32,7-Jun,195
Derrick Williams,New York Knicks,23,PF,25,8-Jun,240
Tony Wroten,New York Knicks,5,SG,23,6-Jun,205
Elton Brand,Philadelphia 76ers,42,PF,37,9-Jun,254
Isaiah Canaan,Philadelphia 76ers,0,PG,25,Jun-00,201
Robert Covington,Philadelphia 76ers,33,SF,25,9-Jun,215
Joel Embiid,Philadelphia 76ers,21,C,22,Jul-00,250
Jerami Grant,Philadelphia 76ers,39,SF,22,8-Jun,210
Richaun Holmes,Philadelphia 76ers,22,PF,22,10-Jun,245
Carl Landry,Philadelphia 76ers,7,PF,32,9-Jun,248
Kendall Marshall,Philadelphia 76ers,5,PG,24,4-Jun,200
T.J. McConnell,Philadelphia 76ers,12,PG,24,2-Jun,200
Nerlens Noel,Philadelphia 76ers,4,PF,22,11-Jun,228
Jahlil Okafor,Philadelphia 76ers,8,C,20,11-Jun,275
Ish Smith,Philadelphia 76ers,1,PG,27,Jun-00,175
Nik Stauskas,Philadelphia 76ers,11,SG,22,6-Jun,205
